CUSTOMERID,AGE,EDUCATION,YEARSEMPLOYED,INCOME,CARDDEBT,OTHERDEBT,DEFAULTED,ADDRESS
567,44,POST GRADUATE,7,78,3.153,5.037,$null$,NBA016
568,25,SCHOOL,4,23,0.252,0.944,0,NBA000
569,39,SCHOOL,20,67,3.834,16.668,0,NBA009
570,26,SCHOOL,4,20,0.319,0.761,0,NBA003
571,31,SCHOOL,8,41,0.134,5.032,0,NBA003
572,40,POST GRADUATE,5,220,8.166,27.034,1,NBA003
573,42,SCHOOL,6,31,1.025,2.571,0,NBA009
574,23,SCHOOL,1,21,1.210,0.554,1,NBA000
575,34,SCHOOL,9,48,0.420,4.044,0,NBA008
576,28,DOCTRATE,0,29,1.425,5.593,0,NBA007
577,29,SCHOOL,6,21,1.110,2.691,0,NBA007
578,29,UNDER GRADUATE,3,26,0.538,1.048,1,NBA006
579,24,UNDER GRADUATE,2,26,0.888,1.634,1,NBA003
580,53,SCHOOL,9,50,2.016,3.584,1,NBA018
581,39,SCHOOL,19,60,9.593,6.667,1,NBA015
582,28,DOCTRATE,2,41,0.459,0.566,1,NBA004
583,38,SCHOOL,16,37,0.083,3.099,$null$,NBA008
584,39,SCHOOL,12,46,0.561,1.739,0,NBA010
585,38,SCHOOL,18,44,0.606,1.374,0,NBA019
586,34,DOCTRATE,6,27,1.982,7.549,1,NBA003
587,31,SCHOOL,11,45,2.739,4.911,0,NBA012
588,40,SCHOOL,2,32,0.854,0.330,0,NBA004
589,32,SCHOOL,8,26,0.326,0.740,0,NBA006
590,35,UNDER GRADUATE,12,64,1.450,8.150,$null$,NBA012
591,29,UNDER GRADUATE,3,32,1.071,1.809,$null$,NBA009
592,44,UNDER GRADUATE,12,86,1.476,9.704,0,NBA005
593,48,UNDER GRADUATE,9,44,2.134,0.462,$null$,NBA022
594,41,UNDER GRADUATE,6,36,4.514,2.506,1,NBA000
595,28,SCHOOL,0,28,2.284,7.040,1,NBA002
596,29,SCHOOL,3,23,1.104,1.035,$null$,NBA010
597,24,SCHOOL,1,16,0.878,0.274,$null$,NBA004
598,25,SCHOOL,9,18,0.066,0.150,0,NBA004
599,43,UNDER GRADUATE,16,83,0.259,3.144,0,NBA010
600,45,SCHOOL,12,37,1.343,2.172,0,NBA019
601,35,SCHOOL,13,35,0.432,1.143,0,NBA015
602,34,SCHOOL,13,51,1.875,3.021,0,NBA011
603,29,SCHOOL,2,14,0.587,1.429,1,NBA000
604,32,UNDER GRADUATE,11,75,7.759,9.716,1,NBA006
605,27,POST GRADUATE,6,26,0.930,1.774,0,NBA004
606,39,SCHOOL,16,57,1.559,9.499,0,NBA020
607,37,DOCTRATE,2,29,2.782,1.684,$null$,NBA001
608,31,DOCTRATE,1,29,1.065,2.154,0,NBA006
609,28,SCHOOL,4,28,0.437,3.539,1,NBA002
610,27,UNDER GRADUATE,8,38,0.364,2.258,0,NBA004
611,31,SCHOOL,8,27,0.674,0.784,$null$,NBA004
612,31,SCHOOL,9,26,0.310,0.860,0,NBA005
613,32,SCHOOL,0,20,0.263,0.337,1,NBA004
614,29,UNDER GRADUATE,9,36,0.127,0.377,0,NBA003
615,31,UNDER GRADUATE,9,53,1.195,5.960,0,NBA008
616,32,UNDER GRADUATE,5,43,1.806,4.644,1,NBA005
617,39,SCHOOL,6,42,2.541,5.817,1,NBA019
618,27,UNDER GRADUATE,7,30,0.448,0.752,1,NBA008
619,29,SCHOOL,13,42,1.458,1.650,1,NBA001
620,31,SCHOOL,11,34,0.298,2.014,0,NBA006
621,41,UNDER GRADUATE,22,75,9.877,7.823,0,NBA017
622,30,SCHOOL,1,27,1.275,2.046,$null$,NBA001
623,35,UNDER GRADUATE,0,22,1.970,1.330,1,NBA016
624,38,UNDER GRADUATE,2,22,1.209,3.785,1,NBA016
625,29,SCHOOL,1,17,0.157,0.982,0,NBA009
626,37,SCHOOL,7,32,2.697,3.575,0,NBA003
627,26,SCHOOL,8,25,0.210,0.965,0,NBA004
628,27,SCHOOL,0,16,0.130,0.046,0,NBA005
629,42,UNDER GRADUATE,18,66,1.641,4.695,0,NBA023
630,45,POST GRADUATE,8,140,4.184,15.276,$null$,NBA001
631,51,DOCTRATE,15,26,2.012,1.524,$null$,NBA030
632,36,SCHOOL,10,28,0.815,2.321,1,NBA000
633,48,SCHOOL,17,66,1.468,0.644,0,NBA022
634,45,SCHOOL,10,52,0.932,1.876,0,NBA014
635,47,SCHOOL,16,110,5.821,8.039,$null$,NBA019
636,26,SCHOOL,6,22,0.721,1.545,0,NBA000
637,35,SCHOOL,12,30,1.899,2.721,$null$,NBA003
638,50,POST GRADUATE,10,80,2.479,7.281,0,NBA020
639,30,SCHOOL,11,33,0.682,2.090,0,NBA001
640,49,UNDER GRADUATE,22,79,0.288,5.479,0,NBA004
641,36,SCHOOL,1,16,0.433,1.055,0,NBA004
642,24,UNDER GRADUATE,3,19,0.359,0.458,0,NBA000
643,42,POST DOCTORAL RESEARCH,6,190,3.157,11.663,0,NBA023
644,28,UNDER GRADUATE,0,30,0.121,1.319,1,NBA003
645,52,UNDER GRADUATE,12,76,0.995,4.857,0,NBA016
646,39,UNDER GRADUATE,9,56,4.765,5.707,0,NBA016
647,40,UNDER GRADUATE,15,138,1.222,4.436,$null$,NBA019
648,29,UNDER GRADUATE,0,22,1.039,1.799,1,NBA008
649,40,SCHOOL,8,28,0.534,0.474,0,NBA017
650,27,SCHOOL,10,34,0.851,1.359,0,NBA006
651,24,POST GRADUATE,2,16,0.270,0.754,1,NBA005
652,26,UNDER GRADUATE,5,28,1.024,1.160,0,NBA007
653,40,POST GRADUATE,16,116,1.614,12.422,0,NBA006
654,50,UNDER GRADUATE,16,71,1.663,6.218,0,NBA014
655,30,SCHOOL,0,20,0.622,0.458,$null$,NBA002
656,26,UNDER GRADUATE,6,30,0.144,0.156,0,NBA006
657,35,SCHOOL,10,28,0.110,0.254,$null$,NBA008
658,37,POST GRADUATE,16,50,7.320,10.980,1,NBA014
659,52,POST DOCTORAL RESEARCH,9,70,1.329,5.251,1,NBA000
660,24,SCHOOL,5,46,0.530,1.218,$null$,NBA001
661,28,SCHOOL,3,26,0.432,2.168,0,NBA006
662,29,UNDER GRADUATE,6,57,0.453,0.801,0,NBA007
663,35,SCHOOL,11,77,1.100,2.519,$null$,NBA012
664,54,SCHOOL,18,114,3.295,6.395,0,NBA034
665,32,SCHOOL,10,32,1.168,2.448,0,NBA013
666,32,SCHOOL,11,53,0.089,1.660,0,NBA002
667,36,SCHOOL,14,81,1.785,4.047,0,NBA011
668,31,SCHOOL,12,24,0.442,1.142,0,NBA009
669,28,SCHOOL,11,24,0.107,0.469,0,NBA006
670,34,SCHOOL,10,33,2.502,0.897,1,NBA001
671,53,DOCTRATE,7,61,1.875,2.944,0,NBA011
672,50,SCHOOL,8,47,0.399,2.844,0,NBA027
673,52,DOCTRATE,13,234,7.387,10.631,0,NBA017
674,30,UNDER GRADUATE,4,15,0.350,0.625,0,NBA008
675,26,UNDER GRADUATE,0,28,1.271,1.333,0,NBA007
676,42,UNDER GRADUATE,21,121,1.365,2.386,0,NBA011
677,27,SCHOOL,6,43,0.883,1.224,0,NBA006
678,41,SCHOOL,14,52,0.926,2.870,0,NBA008
679,27,SCHOOL,10,31,1.362,4.001,0,NBA006
680,32,SCHOOL,12,33,0.795,2.901,$null$,NBA010
681,37,SCHOOL,12,44,2.995,3.473,0,NBA014
682,29,SCHOOL,3,17,0.470,1.060,0,NBA001
683,27,SCHOOL,9,45,2.852,5.158,1,NBA006
684,50,POST GRADUATE,25,94,1.734,3.248,$null$,NBA007
685,21,POST GRADUATE,0,24,0.833,1.015,0,NBA002
686,41,DOCTRATE,14,44,0.353,0.395,0,NBA003
687,23,UNDER GRADUATE,1,18,0.885,2.481,1,NBA003
688,45,UNDER GRADUATE,9,69,0.707,3.916,0,NBA026
689,45,UNDER GRADUATE,2,29,0.443,1.123,0,NBA019
690,33,SCHOOL,6,21,0.567,1.008,0,NBA014
691,21,SCHOOL,1,16,0.141,0.867,0,NBA001
692,40,SCHOOL,6,36,0.391,0.365,1,NBA009
693,40,UNDER GRADUATE,3,28,0.553,2.107,0,NBA002
694,56,SCHOOL,11,59,4.673,4.177,0,NBA020
695,26,SCHOOL,2,22,0.237,1.171,$null$,NBA005
696,29,SCHOOL,6,46,1.170,1.314,0,NBA004
697,29,UNDER GRADUATE,6,65,1.985,9.975,0,NBA010
698,39,SCHOOL,13,27,0.966,1.194,0,NBA009
699,27,UNDER GRADUATE,1,23,0.285,2.567,0,NBA000
700,25,SCHOOL,1,15,0.371,1.339,1,NBA006
701,36,POST DOCTORAL RESEARCH,5,20,0.729,0.891,0,NBA012
702,35,SCHOOL,7,39,1.702,4.577,1,NBA005
703,25,UNDER GRADUATE,4,33,0.553,1.163,0,NBA006
704,21,UNDER GRADUATE,2,20,0.291,0.609,1,NBA000
705,23,SCHOOL,2,16,0.805,0.731,1,NBA002
706,32,SCHOOL,14,73,3.752,2.672,0,NBA007
707,34,SCHOOL,0,20,2.049,1.371,0,NBA010
708,38,SCHOOL,5,20,0.092,0.208,$null$,NBA004
709,39,SCHOOL,22,73,3.727,6.712,0,NBA009
710,46,SCHOOL,1,21,1.377,1.731,1,NBA015
711,35,UNDER GRADUATE,10,98,4.875,8.159,0,NBA016
712,33,DOCTRATE,9,28,0.377,0.827,0,NBA010
713,30,UNDER GRADUATE,12,68,2.857,10.811,0,NBA009
714,54,POST GRADUATE,21,118,9.600,7.392,0,NBA020
715,42,UNDER GRADUATE,5,41,0.355,1.039,0,NBA003
716,28,SCHOOL,9,22,5.283,0.811,1,NBA000
717,35,SCHOOL,9,34,0.398,1.302,0,NBA001
718,41,POST GRADUATE,16,135,1.277,4.663,0,NBA022
719,41,SCHOOL,16,49,0.431,0.353,0,NBA022
720,53,DOCTRATE,5,78,6.936,6.558,1,NBA029
721,28,SCHOOL,4,26,1.295,2.215,0,NBA007
722,35,SCHOOL,5,32,0.175,3.985,0,NBA005
723,42,SCHOOL,7,25,1.629,0.921,0,NBA012
724,33,SCHOOL,11,35,0.506,5.059,$null$,NBA006
725,27,POST GRADUATE,0,50,1.044,6.306,$null$,NBA004
726,48,UNDER GRADUATE,30,148,3.975,6.681,0,NBA014
727,33,SCHOOL,2,44,0.525,0.839,0,NBA014
728,37,SCHOOL,6,31,1.701,1.926,1,NBA010
729,31,SCHOOL,5,23,0.046,0.414,$null$,NBA007
730,35,POST GRADUATE,10,39,1.602,2.454,0,NBA015
731,48,UNDER GRADUATE,6,66,2.316,5.670,0,NBA001
732,34,SCHOOL,16,75,3.955,3.845,0,NBA003
733,23,UNDER GRADUATE,2,48,0.511,3.089,$null$,NBA002
734,41,UNDER GRADUATE,8,43,0.086,0.215,0,NBA021
735,52,SCHOOL,33,139,2.288,5.496,$null$,NBA023
736,39,SCHOOL,6,61,0.563,2.914,0,NBA009
737,46,SCHOOL,1,20,0.809,1.991,0,NBA012
738,33,UNDER GRADUATE,4,55,2.160,1.690,0,NBA009
739,34,POST GRADUATE,2,39,1.143,4.005,0,NBA014
740,34,POST GRADUATE,12,47,1.301,1.848,0,NBA008
741,40,SCHOOL,9,33,4.881,0.729,$null$,NBA009
742,45,POST GRADUATE,16,80,0.912,1.488,0,NBA021
743,25,SCHOOL,1,19,0.190,1.121,0,NBA001
744,31,UNDER GRADUATE,6,32,3.341,4.051,1,NBA006
745,34,DOCTRATE,7,40,0.950,1.610,0,NBA015
746,45,SCHOOL,23,50,0.559,1.541,0,NBA005
747,44,UNDER GRADUATE,17,129,0.551,2.674,0,NBA000
748,35,SCHOOL,13,42,0.769,6.623,$null$,NBA004
749,22,UNDER GRADUATE,0,14,0.242,2.152,$null$,NBA000
750,26,POST GRADUATE,3,40,1.896,2.424,$null$,NBA001
751,38,SCHOOL,6,18,0.131,2.209,0,NBA017
752,27,SCHOOL,7,26,0.641,1.725,0,NBA004
753,29,SCHOOL,11,36,0.709,1.487,0,NBA005
754,29,UNDER GRADUATE,5,28,2.126,3.110,0,NBA007
755,22,SCHOOL,4,24,1.636,2.108,1,NBA002
756,47,SCHOOL,4,26,0.122,2.582,0,NBA002
757,27,UNDER GRADUATE,5,25,0.706,0.994,0,NBA006
758,24,SCHOOL,2,18,0.528,0.552,0,NBA005
759,52,SCHOOL,17,73,1.054,5.297,$null$,NBA004
760,26,SCHOOL,3,29,2.527,4.926,1,NBA005
761,40,SCHOOL,22,100,5.402,9.198,0,NBA001
762,33,UNDER GRADUATE,12,58,3.084,7.588,0,NBA008
763,30,SCHOOL,0,17,0.304,1.736,0,NBA011
764,39,UNDER GRADUATE,16,69,1.061,0.595,0,NBA013
765,24,UNDER GRADUATE,0,16,0.025,1.143,0,NBA005
766,27,DOCTRATE,0,70,1.618,3.982,1,NBA006
767,38,UNDER GRADUATE,7,64,0.651,1.269,0,NBA004
768,36,SCHOOL,9,40,1.976,1.944,0,NBA001
769,39,SCHOOL,4,33,0.397,1.913,0,NBA015
770,43,SCHOOL,13,76,2.151,2.485,1,NBA023
771,24,SCHOOL,8,17,0.569,0.383,1,NBA000
772,21,SCHOOL,5,25,0.367,1.883,0,NBA001
773,26,UNDER GRADUATE,2,24,1.577,1.687,1,NBA006
774,43,SCHOOL,11,37,0.180,0.301,0,NBA017
775,36,POST GRADUATE,11,44,0.446,6.022,0,NBA012
776,43,SCHOOL,15,62,0.694,5.134,$null$,NBA021
777,35,UNDER GRADUATE,11,62,9.703,10.385,$null$,NBA001
778,34,UNDER GRADUATE,10,33,0.574,2.561,0,NBA002
779,47,UNDER GRADUATE,17,41,0.456,3.439,0,NBA023
780,48,SCHOOL,0,30,2.663,4.027,0,NBA023
781,29,UNDER GRADUATE,9,46,0.241,0.495,0,NBA000
782,36,SCHOOL,7,43,1.040,1.626,0,NBA002
783,35,SCHOOL,10,39,0.218,2.005,0,NBA016
784,39,SCHOOL,13,38,1.897,1.485,0,NBA001
785,41,SCHOOL,21,76,6.949,8.631,0,NBA002
786,29,POST GRADUATE,1,30,0.279,1.071,0,NBA010
787,39,UNDER GRADUATE,18,44,0.368,0.556,0,NBA009
788,33,SCHOOL,12,32,2.105,1.511,0,NBA011
789,33,UNDER GRADUATE,8,27,1.646,1.000,$null$,NBA013
790,39,SCHOOL,0,39,1.066,2.015,0,NBA008
791,40,UNDER GRADUATE,8,57,0.878,2.314,0,NBA019
792,53,SCHOOL,33,324,7.053,15.627,$null$,NBA025
793,34,SCHOOL,15,67,3.741,5.103,0,NBA000
794,29,POST GRADUATE,7,84,6.912,4.512,1,NBA002
795,30,SCHOOL,0,17,0.447,0.182,1,NBA011
796,38,POST GRADUATE,3,25,0.312,0.613,0,NBA018
797,25,DOCTRATE,0,24,1.597,1.307,1,NBA006
798,26,UNDER GRADUATE,6,35,0.086,0.579,0,NBA000
799,25,UNDER GRADUATE,5,35,1.969,3.806,$null$,NBA005
800,29,SCHOOL,8,24,0.470,1.138,0,NBA010
801,28,SCHOOL,5,22,0.140,0.476,0,NBA009
802,48,SCHOOL,30,101,1.875,4.589,0,NBA008
803,26,SCHOOL,0,14,0.302,0.748,1,NBA000
804,36,SCHOOL,4,23,1.327,2.422,0,NBA010
805,30,SCHOOL,12,38,0.171,3.059,0,NBA010
806,41,SCHOOL,1,19,0.242,0.594,0,NBA016
807,34,POST GRADUATE,13,52,1.497,3.287,0,NBA007
808,25,POST GRADUATE,3,54,1.163,2.833,$null$,NBA002
809,45,SCHOOL,17,62,2.437,6.863,0,NBA000
810,22,SCHOOL,4,19,1.887,2.502,1,NBA003
811,32,SCHOOL,13,25,0.596,1.279,$null$,NBA011
812,21,UNDER GRADUATE,1,17,0.555,1.230,$null$,NBA000
813,34,SCHOOL,6,20,0.042,0.198,0,NBA001
814,31,SCHOOL,10,49,3.237,1.565,1,NBA012
815,33,SCHOOL,7,22,0.631,0.777,0,NBA000
816,40,UNDER GRADUATE,2,36,0.278,1.090,0,NBA001
817,36,UNDER GRADUATE,6,27,0.262,0.980,1,NBA015
818,30,UNDER GRADUATE,2,26,0.249,0.739,$null$,NBA002
819,35,UNDER GRADUATE,0,35,2.383,1.957,$null$,NBA006
820,36,SCHOOL,7,40,1.695,2.265,0,NBA017
821,37,SCHOOL,4,24,0.419,2.989,$null$,NBA010
822,32,SCHOOL,16,38,0.694,7.286,0,NBA010
823,45,SCHOOL,3,20,0.105,0.315,0,NBA015
824,27,DOCTRATE,0,25,1.419,1.756,1,NBA000
825,41,UNDER GRADUATE,4,26,1.473,3.519,1,NBA014
826,32,UNDER GRADUATE,12,116,4.027,2.585,$null$,NBA011
827,48,SCHOOL,13,50,6.114,9.286,1,NBA020
828,50,SCHOOL,1,26,1.852,1.866,0,NBA026
829,45,POST GRADUATE,0,22,0.030,0.894,0,NBA019
830,33,UNDER GRADUATE,2,37,0.834,0.831,0,NBA009
831,33,SCHOOL,13,52,2.714,8.362,1,NBA003
832,27,UNDER GRADUATE,8,18,0.401,1.741,0,NBA007
833,36,UNDER GRADUATE,7,43,2.649,3.973,0,NBA016
834,30,DOCTRATE,7,30,0.264,4.446,0,NBA010
835,28,UNDER GRADUATE,3,36,0.384,2.712,0,NBA001
836,21,POST GRADUATE,0,41,2.367,5.628,$null$,NBA001
837,23,UNDER GRADUATE,3,24,0.552,0.960,0,NBA004
838,23,SCHOOL,7,22,0.849,2.319,0,NBA003
839,26,SCHOOL,10,25,1.306,0.469,0,NBA001
840,31,SCHOOL,8,22,0.370,1.104,0,NBA001
841,38,POST GRADUATE,13,25,0.343,1.082,0,NBA018
842,29,POST GRADUATE,7,63,0.572,2.893,0,NBA001
843,32,SCHOOL,14,36,0.273,0.591,0,NBA000
844,32,UNDER GRADUATE,8,45,0.982,0.683,0,NBA002
845,41,SCHOOL,7,43,0.694,1.198,0,NBA011
846,27,SCHOOL,5,26,0.548,1.220,$null$,NBA007
847,28,UNDER GRADUATE,7,34,0.359,2.021,0,NBA002
848,25,DOCTRATE,0,18,2.802,3.210,1,NBA001
849,32,SCHOOL,12,28,0.116,0.696,0,NBA012
850,52,SCHOOL,16,64,1.866,3.638,0,NBA025
